scan_id,diameter_um,flow_mm_s,extension,trigger,evidence_table,evidence,scope,status
D128_F01_V01,128,1,A,source-T1 shared pixels detected,shared_pixel_support_D128_F01_V01.csv.gz,486 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D128_F03_V01,128,3,A,source-T1 shared pixels detected,shared_pixel_support_D128_F03_V01.csv.gz,468 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D128_F05_V01,128,5,A,source-T1 shared pixels detected,shared_pixel_support_D128_F05_V01.csv.gz,491 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D128_F07_V01,128,7,A,source-T1 shared pixels detected,shared_pixel_support_D128_F07_V01.csv.gz,493 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D128_F10_V01,128,10,A,source-T1 shared pixels detected,shared_pixel_support_D128_F10_V01.csv.gz,484 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D235_F01_V01,235,1,A,source-T1 shared pixels detected,shared_pixel_support_D235_F01_V01.csv.gz,448 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D235_F03_V01,235,3,A,source-T1 shared pixels detected,shared_pixel_support_D235_F03_V01.csv.gz,448 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D235_F05_V01,235,5,A,source-T1 shared pixels detected,shared_pixel_support_D235_F05_V01.csv.gz,424 source-bin/frame records; first frame 2,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D235_F07_V01,235,7,A,source-T1 shared pixels detected,shared_pixel_support_D235_F07_V01.csv.gz,444 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D235_F10_V01,235,10,A,source-T1 shared pixels detected,shared_pixel_support_D235_F10_V01.csv.gz,461 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D285_F01_V01,285,1,A,source-T1 shared pixels detected,shared_pixel_support_D285_F01_V01.csv.gz,453 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D285_F03_V01,285,3,A,source-T1 shared pixels detected,shared_pixel_support_D285_F03_V01.csv.gz,474 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D285_F05_V01,285,5,A,source-T1 shared pixels detected,shared_pixel_support_D285_F05_V01.csv.gz,492 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D285_F07_V01,285,7,A,source-T1 shared pixels detected,shared_pixel_support_D285_F07_V01.csv.gz,458 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D285_F10_V01,285,10,A,source-T1 shared pixels detected,shared_pixel_support_D285_F10_V01.csv.gz,494 source-bin/frame records; first frame 0,fixed S3-S6 x T2-T4 12-cell median and pooled S3-S6 vs tail25-100 51-frame,complete
D128_F01_V01,128,1,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,495","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D128_F01_V01,128,1,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D128_F01_V01,128,1,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D128_F01_V01,128,1,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D128_F03_V01,128,3,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,499","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D128_F03_V01,128,3,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D128_F03_V01,128,3,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D128_F03_V01,128,3,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D128_F05_V01,128,5,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,499","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D128_F05_V01,128,5,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D128_F05_V01,128,5,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D128_F05_V01,128,5,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D128_F07_V01,128,7,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,498","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D128_F07_V01,128,7,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D128_F07_V01,128,7,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D128_F07_V01,128,7,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D128_F10_V01,128,10,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,499","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D128_F10_V01,128,10,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D128_F10_V01,128,10,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D128_F10_V01,128,10,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D235_F01_V01,235,1,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,497","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D235_F01_V01,235,1,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D235_F01_V01,235,1,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D235_F01_V01,235,1,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
D235_F03_V01,235,3,D,fixed panels show axial structural brightness gradient intersecting source/tail whose relation changes with retained ROI position,localization_review.csv,"fixed frames 0,249,497","whole-source/tail100/tail500 structural means real/L/R, same-ROI structural-SV and structural source-tail raw/51 correlations only",complete
D235_F03_V01,235,3,B,no clear misalignment or qualifying interface crossing beyond gradient,localization_review.csv,three fixed panels,"maximum adjacent |delta X4| and |delta z_top| frame pairs, earliest ties; no geometry changes",not_triggered
D235_F03_V01,235,3,C,neither signed C16 side-dependence nor clear single-side structural mismatch observed,fixed_region_control_excess.csv; localization_review.csv,real-minus-L and real-minus-R both positive; same-depth field gradient recorded under D,no +/-2.5D extension; retain primary +/-1.5D,not_triggered
D235_F03_V01,235,3,E,report describes fixed broad region and all six rows; does not rely on exact single-bin location,fixed_region_summary.csv; position_sensitivity_cells.csv,no exact-bin localization claim required,no 6-to-3 bin extension,not_triggered
