scan_id,diameter_um,flow_mm_s,frame_index,figure,structural_available,review_status,source_boundary,review_basis,structural_gradient,clear_misalignment,single_side_background_mismatch,note,reviewer,reviewed_utc
D128_F01_V01,128,1,0,localization_review_display/D128_F01_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F01_V01,128,1,249,localization_review_display/D128_F01_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F01_V01,128,1,495,localization_review_display/D128_F01_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F03_V01,128,3,0,localization_review_display/D128_F03_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F03_V01,128,3,249,localization_review_display/D128_F03_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F03_V01,128,3,499,localization_review_display/D128_F03_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F05_V01,128,5,0,localization_review_display/D128_F05_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F05_V01,128,5,249,localization_review_display/D128_F05_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F05_V01,128,5,499,localization_review_display/D128_F05_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
D128_F07_V01,128,7,0,localization_review_display/D128_F07_V01.png,True,图像不足以判断,prior circle and lower boundary; no truth claim,"Retained structural and linear raw-SV panels inspected; incomplete structural contour prevents validation of full physical-D circle or lower wall. SV signal location is descriptive, not truth.",True,False,False,Narrow central SV column lies within source and proximal tail; structural upper-to-lower brightness gradient and incomplete lower contour.,Codex visual inspection of rendered retained arrays,2026-09-10T03:50:10.407353+00:00
